step,critic/rewards/mean,response_length/mean,actor/grad_norm,actor/kl_loss,rollout_corr/k3_kl,timing_s/step,response_length/clip_ratio,actor/ppo_kl,actor/pg_clipfrac,training/off_policy/trajectory_staleness/max
1,0.48515620827674866,519.2421875,0.6235456466674805,0.0,0.004032898228615522,647.5457153320312,0.1171875,0.0,0.0,0.0
2,0.2523437440395355,989.9921875,0.3824070990085602,0.0,0.004701673518866301,441.5650329589844,0.34375,0.0,0.0,1.0
3,0.7109375,447.6328125,0.4807260036468506,0.0012472616508603096,0.003551152301952243,448.5478820800781,0.0390625,0.0,0.0,1.0
4,0.4007812440395355,541.6171875,0.4525339603424072,0.0011601420119404793,0.004188454244285822,431.4581604003906,0.1015625,0.0,0.0,1.0
5,0.38515621423721313,870.8984375,0.3051397204399109,0.0012520115124061704,0.004338937345892191,428.8646240234375,0.3046875,0.0,0.0,1.0
6,0.44843751192092896,580.703125,0.45013588666915894,0.001122226007282734,0.004275843966752291,425.3865966796875,0.15625,0.0,0.0,1.0
7,0.4625000059604645,524.015625,0.4626258611679077,0.0013422009069472551,0.004401426296681166,424.04833984375,0.078125,0.0,0.0,1.0
8,0.546093761920929,607.9453125,0.48622336983680725,0.0013577326899394393,0.003952214028686285,423.30133056640625,0.1328125,0.0,0.0,1.0
9,0.657031238079071,353.2578125,0.6096128225326538,0.0028039684984833,0.004181127995252609,423.8318786621094,0.0234375,0.0,0.0,1.0
10,0.5570312142372131,525.234375,0.5489456653594971,0.0015776980435475707,0.0037486020009964705,426.201904296875,0.09375,0.0,0.0,1.0
11,0.6109375357627869,456.171875,0.6050528883934021,0.0035933637991547585,0.004025494214147329,421.71868896484375,0.09375,0.0,0.0,1.0
12,0.5453124642372131,620.953125,0.413654088973999,0.0020576948300004005,0.004033337812870741,429.2889404296875,0.15625,0.0,0.0,1.0
13,0.6031249761581421,722.875,0.44442492723464966,0.0022435321006923914,0.004319154657423496,422.1324768066406,0.171875,0.0,0.0,1.0
14,0.5726562738418579,811.78125,0.4114847481250763,0.002270670607686043,0.004052598495036364,423.5091247558594,0.1953125,0.0,0.0,1.0
15,0.48515620827674866,642.3046875,0.5083871483802795,0.002245312323793769,0.0039050006307661533,424.17303466796875,0.1328125,0.0,0.0,1.0
16,0.5570312738418579,628.5703125,0.3850770890712738,0.002846564631909132,0.0039071510545909405,424.50732421875,0.1328125,0.0,0.0,1.0
17,0.7335938215255737,437.328125,0.45827624201774597,0.004131635185331106,0.0034915434662252665,426.477294921875,0.0546875,0.0,0.0,1.0
18,0.6789062023162842,618.75,0.48974713683128357,0.003945876844227314,0.0038364657666534185,427.29656982421875,0.1171875,0.0,0.0,1.0
19,0.47968748211860657,646.21875,0.411797434091568,0.004384021740406752,0.004044752102345228,423.6950378417969,0.1328125,0.0,0.0,1.0
20,0.7125000357627869,465.890625,0.31432363390922546,0.005393458995968103,0.0036992996465414762,424.3378601074219,0.0546875,0.0,0.0,1.0
21,0.60546875,493.296875,0.3842569887638092,0.00709519861266017,0.004151968751102686,407.2356872558594,0.0703125,0.0,0.0,1.0
22,0.692187488079071,366.0234375,0.6212447881698608,0.007365704979747534,0.003447101218625903,431.7693786621094,0.046875,0.0,0.0,1.0
23,0.5023437738418579,630.5,0.4546321928501129,0.006481790915131569,0.0038442022632807493,431.86798095703125,0.125,0.0,0.0,1.0
24,0.6429687142372131,475.0390625,0.40362948179244995,0.0071827745996415615,0.0034586782567203045,424.3703308105469,0.0546875,0.0,0.0,1.0
25,0.5453125238418579,599.375,0.49584633111953735,0.007973209954798222,0.004323400557041168,425.324951171875,0.1171875,0.0,0.0,1.0
26,0.4843749701976776,639.375,0.4464241862297058,0.007714894600212574,0.003627570578828454,425.32159423828125,0.09375,0.0,0.0,1.0
27,0.78125,490.9296875,0.5337969660758972,0.011938652954995632,0.003857687348499894,422.48175048828125,0.078125,0.0,0.0,1.0
28,0.5093749761581421,667.8359375,0.482444167137146,0.011956596747040749,0.004237254150211811,421.3836975097656,0.125,0.0,0.0,1.0
29,0.57421875,640.5546875,0.4286114275455475,0.013660240918397903,0.004458497278392315,431.2352294921875,0.1015625,0.0,0.0,1.0
30,0.7070311903953552,436.7734375,0.5397303700447083,0.013940354809165001,0.0041065700352191925,422.7126770019531,0.046875,0.0,0.0,1.0
